State,Location,Address,City,Facility,Hours,Phone.Number,Eligibility,Link,lon,lat,geoAddress
Connecticut,CVS Health COVID-19 Testing Site,3514 Main Street,Coventry,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.3688034,41.7978456,"3514 main st, coventry, ct 06238, usa"
Connecticut,CVS Health COVID-19 Testing Site,72 Berlin Road,Cromwell,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-72.6889332,41.6024966,"72 berlin rd, cromwell, ct 06416, usa"
Connecticut,Nuvance Health,24 Hospital Avenue,Danbury,Clinic,,866-374-0007,,https://www.danburyhospital.org/hospital-network/home/novel-coronavirus-covid19-update,-73.4445315,41.4050643,"24 hospital ave, danbury, ct 06810, usa"
Connecticut,CVS Health COVID-19 Testing Site,47 Lake Avenue Extension,Danbury,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-73.4889791,41.3871924,"47 lake ave ext, danbury, ct 06811, usa"
Connecticut,Danbury Hospital,95 Locust Ave,Danbury,Drive-thru,M-Sat 8:30 a.m. to 3:30 p.m,,,https://www.danburyhospital.org/hospital-network/home/novel-coronavirus-covid19-update/drive-through-collection-sites,-73.4450669,41.4047697,"95 locust ave, danbury, ct 06810, usa"
Connecticut,Killingly Intermediate School,1599 Upper Maple St,Dayville,Drive-thru,,,,https://www.prohealthmd.com/about/news-events/drive-thru-testing.html,-71.899193,41.850066,"1599 upper maple st, dayville, ct 06241, usa"
Connecticut,Griffin Hospital,130 Division Street,Derby,Drive-thru,M-F 8-5m S-S 8-3,203-437-6815,appt only,https://www.griffinhealth.org/coronavirus-covid19-information/covid-19-test-collection-site,-88.2986989,41.8980768,"130 division st, geneva, il 60134, usa"
Connecticut,CVS Health COVID-19 Testing Site,54 East High Street,East Hampton,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.4970962,41.5842955,"54 e high st, east hampton, ct 06424, usa"
Connecticut,CVS Health COVID-19 Testing Site,16 Main Street,East Hartford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-73.6611249,40.6402285,"16 main st, east rockaway, ny 11518, usa"
Connecticut,CVS Health COVID-19 Testing Site,15 Chesterfield Road,East Lyme,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-71.0521678,42.2589793,"15 chesterfield rd, milton, ma 02186, usa"
Connecticut,CVS Health COVID-19 Testing Site,875 Enfield Street,Enfield,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.5936633,41.9980094,"875 enfield st, enfield, ct 06082, usa"
Connecticut,CVS Health COVID-19 Testing Site,1770 Kings Highway,Fairfield,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-73.2409754,41.1569235,"1770 kings hwy, fairfield, ct 06824, usa"
Connecticut,AFC Urgent Care Fairfield,1918 Black Rock Turnpike,Fairfield,Clinic,8am - 8pm,203.583.8400,,https://www.afcurgentcarefairfield.com/,-73.2480392,41.1809283,"1918 black rock turnpike, fairfield, ct 06825, usa"
Connecticut,CVS Health COVID-19 Testing Site,961 Black Rock Turnpike,Fairfield,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-73.236168,41.1718306,"961 black rock turnpike, fairfield, ct 06824, usa"
Connecticut,"ProHealth Physicians, Farmington",230 Farmington Ave,Farmington,Drive-thru,,,,https://www.prohealthmd.com/about/news-events/drive-thru-testing.html,-72.7953236,41.7379647,"230 farmington ave, farmington, ct 06032, usa"
Connecticut,UConn Health,263 Farmington Avenue,Farmington,Drive-thru,M-F 10-2,860-679-1869,,https://health.uconn.edu/coronavirus/,-72.7914616,41.7322247,"263 farmington ave, farmington, ct 06030, usa"
Connecticut,CVS Health COVID-19 Testing Site,1657 Route 12,Gales Ferry,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.0828317,41.4275993,"1657 ct-12, gales ferry, ct 06335, usa"
Connecticut,CVS Health COVID-19 Testing Site,2639 Main Street,Glastonbury,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.6713125,41.790074,"2639 main st, hartford, ct 06120, usa"
Connecticut,Greenwich Hospital - lower level physician parking lot,5 Perryridge Road,Greenwich,Drive-thru,"M-F 8-5, S-S 9-3",203-ASK-YNHH,,https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites,-73.6304409,41.0335001,"5 perryridge rd, greenwich, ct 06830, usa"
Connecticut,CVS Health COVID-19 Testing Site,1057 Boston Post Road,Guilford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.684684,41.2884005,"1057 boston post rd, guilford, ct 06437, usa"
Connecticut,Saint Francis Hospital - Gengras Building,1000 Asylum Street,Hartford,Drive-thru,"9-onwards, daily",,,https://www.trinityhealthofne.org/body.cfm?id=4342&iirf_redirect=1,-72.6986783,41.7727849,"1000 asylum ave, hartford, ct 06105, usa"
Connecticut,CVS Health COVID-19 Testing Site,150 Washington Street,Hartford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-71.3147731,42.0232302,"150 washington st, plainville, ma 02762, usa"
Connecticut,CVS Health COVID-19 Testing Site,479 Blue Hills Avenue,Hartford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.6959522,41.7988982,"479 blue hills ave, hartford, ct 06112, usa"
Connecticut,Hartford Hospital - Education and Resource Center,560 Hudson Street,Hartford,Drive-thru,"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.",,,https://hartfordhealthcare.org/health-wellness/coronavirus/resources,-74.0057215,40.7355824,"560 hudson st, new york, ny 10014, usa"
Connecticut,CVS Health COVID-19 Testing Site,690 Wethersfield Avenue,Hartford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.6702791,41.7373943,"690 wethersfield ave, hartford, ct 06114, usa"
Connecticut,Manchester Hospital,71 Haynes St,Manchester,Drive-thru,,,,https://www.prohealthmd.com/about/news-events/drive-thru-testing.html,-72.5260287,41.7815772,"71 haynes st, manchester, ct 06040, usa"
Connecticut,MidState Medical Center,435 Lewis Avenue,Meriden,Drive-thru,"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.",,,https://hartfordhealthcare.org/health-wellness/coronavirus/resources,-72.8011451,41.5493063,"435 lewis ave, meriden, ct 06451, usa"
Connecticut,"ProHealth Physicians, Middletown",400 Saybrook Road,Middletown,Drive-thru,,,,https://www.prohealthmd.com/about/news-events/drive-thru-testing.html,-72.6270361,41.5444223,"400 saybrook rd, middletown, ct 06457, usa"
Connecticut,Walgreens,10A Main Street,Middletown,Drive-thru,9am-5pm,,Appointment only \u2013 complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx,-72.6471135,41.5569923,"10a main st, middletown, ct 06457, usa"
Connecticut,Bridgeport Hospital Milford Campus,831 Boston Post Road,Milford,Drive-thru,,833-ASK-YNHH,,https://www.bridgeporthospital.org/news/bridgeport-hospital-starts-covid19-testing-in-milford.aspx,-73.0542084,41.231761,"831 boston post rd, milford, ct 06460, usa"
Connecticut,Murphy Medical Associates,468 South Avenue,New Canaan,Drive-thru,09:30-12 F,(203) 658-6051,,https://coronatestct.com/,-73.485599,41.1314318,"468 south ave, new canaan, ct 06840, usa"
Connecticut,Yale Main Campus,150 Sargent Drive,New Haven,Drive-thru,,1-833-275-9644,,https://www.prohealthmd.com/about/news-events/drive-thru-testing.html,-72.9219715,41.2926681,"150 sargent dr, new haven, ct 06511, usa"
Connecticut,Yale New Haven Hospital,20 York Street,New Haven,Clinic,,203-688-4242,,https://www.ynhhs.org/patient-care/covid-19/covid-19-testing.aspx,-72.9355663,41.3044229,"20 york st, new haven, ct 06510, usa"
Connecticut,Cornell Scott - Hill Health Center,226 Dixwell Avenue,New Haven,,,203-503-3000,,https://www.cornellscott.org/226-dixwell-avenue,-72.9343711,41.3191185,"226 dixwell ave, new haven, ct 06511, usa"
Connecticut,Fair Haven Community Health,374 Grand Avenue,New Haven,Clinic,,(203) 777-7411,,https://www.fhchc.org/coronavirus/,-72.9020086,41.3084073,"374 grand ave #3733, new haven, ct 06513, usa"
Connecticut,Yale New Haven Hospital,50 Sargent Drive,New Haven,Drive-thru,M-F 8-4:30,203-ASK-YNHH,,https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites,-72.9264683,41.2872858,"50 sargent dr, new haven, ct 06511, usa"
Connecticut,CVS Health COVID-19 Testing Site \u2013 Gateway Community College,60 Sargent Drive,New Haven,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.9259105,41.2884528,"60 sargent dr, new haven, ct 06511, usa"
Connecticut,Lawrence & Memorial Hospital - Parking lot A,365 Montauk Ave,New London,Drive-thru,M-F 9-5,203-ASK-YNHH,,https://www.ci.milford.ct.us/2019-novel-coronavirus-covid-19-information/pages/yale-new-haven-system-testing-sites,-72.1056199,41.3363732,"365 montauk ave, new london, ct 06320, usa"
Connecticut,Nuvance Health,21 Elm Street,New Milford,Clinic,,800-350-1595,,https://www.danburyhospital.org/hospital-network/home/novel-coronavirus-covid19-update,-73.4099202,41.5814285,"21 elm st, new milford, ct 06776, usa"
Connecticut,Premier Urgent Care,2909 Berlin TPK,Newington,Clinic,,(860) 345-1143,,https://www.premierurgentcarect.com/,-72.7180118,41.6707754,"2909 berlin turnpike, newington, ct 06111, usa"
Connecticut,Norwalk Hospital,34 Maple St,Norwalk,Drive-thru,M-Sat 8:30-3:30,,,https://www.prohealthmd.com/about/news-events/drive-thru-testing.html,-122.4556262,37.7900334,"34 maple st, san francisco, ca 94118, usa"
Connecticut,Backus Hospital,326 Washington Street,Norwich,Drive-thru,"9am-Noon, daily",,,https://hartfordhealthcare.org/health-wellness/coronavirus/resources,-72.0889953,41.5432439,"326 washington st, norwich, ct 06360, usa"
Connecticut,Stony Creek Urgent Care,236 Boston Post Rd,Orange,Clinic,,203.815.1054,,http://stonycreekurgentcare.com/coronavirus-covid-19-information/,-72.9981721,41.2687727,"236 boston post rd, orange, ct 06477, usa"
Connecticut,Premier Urgent Care,2782 Oxford Rd,Oxford,Clinic,,(203) 717-4353,,https://www.premierurgentcarect.com/,-83.2398771,42.8658106,"2782 n oxford rd, oxford, mi 48371, usa"
Connecticut,CVS Health COVID-19 Testing Site,57 Providence Pike,Putnam,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-71.8766811,41.9242452,"57 providence pike, putnam, ct 06260, usa"
Connecticut,CVS Health COVID-19 Testing Site,323 Cromwell Avenue,Rocky Hill,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.6793736,41.6615275,"323 cromwell ave, berlin, ct 06037, usa"
Connecticut,AFC Urgent Care Shelton,389 Bridgeport Ave,Shelton,Clinic,8am - 8pm,203.567.4171,,https://www.afcurgentcarefairfield.com/,-73.1108572,41.2951281,"389 bridgeport ave, shelton, ct 06484, usa"
Connecticut,CVS Health COVID-19 Testing Site,525 Buckland Street,South Windsor,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.5538524,41.8255249,"525 buckland rd, south windsor, ct 06074, usa"
Connecticut,Johnson Memorial Hospital - Community Medical Education Center,201 Chestnut Hill Road,Stafford Springs,Drive-thru,"9-onwards, daily",,,https://www.trinityhealthofne.org/body.cfm?id=4342&iirf_redirect=1,-72.3911022,41.9795964,"201 chestnut hill rd, stafford springs, ct 06076, usa"
Connecticut,Westhill High School,125 Roxbury Rd,Stamford,Drive-thru,M-F 8-4,1-883-508-8378,,https://www.stamfordpublicschools.org/westhill-high-school/news/westhill-high-school-covid-19-testing-site-operated-%C2%A0stamford-department,-73.5645659,41.0916815,"125 roxbury rd, stamford, ct 06902, usa"
Connecticut,CVS Health COVID-19 Testing Site,1938 West Main Street,Stamford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-73.5624955,41.0484099,"1938 w main st, stamford, ct 06902, usa"
Connecticut,CVS Health COVID-19 Testing Site,229 Hope Street,Stamford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-73.5259605,41.0686738,"229 hope st, stamford, ct 06906, usa"
Connecticut,Murphy Medical Associates,460 Shippan Avenue,Stamford,Drive-thru,6-8 M-F,(203) 658-6051,,https://coronatestct.com/,-73.5240518,41.0441993,"460 shippan ave, stamford, ct 06902, usa"
Connecticut,CVS Health COVID-19 Testing Site,1 Hawley Lane,Stratford,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-73.1532749,41.2305871,"1 hawley ln, stratford, ct 06614, usa"
Connecticut,Murphy Medical Associates,1000 Main Street,Stratford,Drive-thru,10-12 M-Th,(203) 658-6051,,https://coronatestct.com/,-95.3659038,29.7567954,"1000 main st, houston, tx 77002, usa"
Connecticut,Charlotte Hungerford Hospital,540 Litchfield Street,Torrington,Drive-thru,"Mon-Fri, 9am-5pm, Sat-Sun, 2-5pm.",,,https://hartfordhealthcare.org/health-wellness/coronavirus/resources,-73.1338228,41.7915265,"540 litchfield st, torrington, ct 06790, usa"
Connecticut,CVS Health COVID-19 Testing Site,2005 Norwich  New London Turnpike,Uncasville,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.0987548,41.4790943,"2005 norwich-new london turnpike, uncasville, ct 06382, usa"
Connecticut,Saint Mary's Hospital - lower level of the Visitor's Garage,56 Franklin St,Waterbury,Drive-thru,"9-onwards, daily",,,https://www.trinityhealthofne.org/body.cfm?id=4342&iirf_redirect=1,-73.0365718,41.5526922,"56 franklin st, waterbury, ct 06706, usa"
Connecticut,Waterbury Hospital - Emergency Department,68 Robbins Street,Waterbury,Drive-thru,8-4 daily,203-575-5250,,https://www.waterburyhospital.org/coronavirus/#resources,-73.058838,41.559422,"68 robbins st, waterbury, ct 06708, usa"
Connecticut,CVS Health COVID-19 Testing Site,355 Campbell Avenue,West Haven,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-72.9478098,41.2679423,"355 campbell ave, west haven, ct 06516, usa"
Connecticut,Westerly Hospital,25 Wells Street,Westerly ,Clinic,,401-596-6000,,https://www.ynhhs.org/patient-care/covid-19/covid-19-testing.aspx,-71.8246766,41.3619488,"25 wells st, westerly, ri 02891, usa"
Connecticut,Murphy Medical Associates,88 North Avenue,Westport,Drive-thru,8:30-12 T,(203) 658-6051,,https://coronatestct.com/,-71.2813656,42.3796438,"88 north ave, weston, ma 02493, usa"
Connecticut,Physician One Urgent Care,607 West Main Street ,Norwich,Drive-thru,,860.892.9000,,https://physicianoneurgentcare.com/coronavirus2019,-85.7601439,38.2573938,"607 w main st, louisville, ky 40202, usa"
Connecticut,Physician One Urgent Care,55 Hazard Avenue,Enfield,Drive-thru,,860.745.9911,,https://physicianoneurgentcare.com/coronavirus2019,-71.4002734,41.6905349,"55 hazard ave, warwick, ri 02889, usa"
Connecticut,Physician One Urgent Care,370 Middle Turnpike West,Manchester,Drive-thru,,860.516.5070,,https://physicianoneurgentcare.com/coronavirus2019,-72.5400156,41.7791663,"370 middle turnpike w, manchester, ct 06040, usa"
Connecticut,Physician One Urgent Care,220 Route 12,Groton,Drive-thru,,860-446-6137,,https://physicianoneurgentcare.com/coronavirus2019,-72.0670003,41.3691712,"220 ct-12, groton, ct 06340, usa"
Connecticut,Physician One Urgent Care,2928 Main Street,Glastonbury,Drive-thru,,860.657.8289,,https://physicianoneurgentcare.com/coronavirus2019,-72.614759,41.72301,"main st and 2928 main st, glastonbury, ct 06033, usa"
Connecticut,Physician One Urgent Care,21 North Main Street Suite B,West Hartford ,Drive-thru,,860.236.3911,,https://physicianoneurgentcare.com/coronavirus2019,-72.7423759,41.7636041,"21 n main st suite b, west hartford, ct 06107, usa"
Connecticut,Physician One Urgent Care,576 Farmington Avenue,Bristol,Drive-thru,,860.845.5763,,https://physicianoneurgentcare.com/coronavirus2019,-72.7118636,41.7664261,"576 farmington ave, hartford, ct 06105, usa"
Connecticut,Physician One Urgent Care,920 Wolcott St Suite 19,Waterbury,Drive-thru,,203.574.1200,,https://physicianoneurgentcare.com/coronavirus2019,-73.0027839,41.5671297,"920 wolcott st #19, waterbury, ct 06705, usa"
Connecticut,Physician One Urgent Care,2165 Dixwell Ave,Hamden,Drive-thru,,203.248.2727,,https://physicianoneurgentcare.com/coronavirus2019,-72.9183262,41.3688303,"2165 dixwell ave, hamden, ct 06514, usa"
Connecticut,Physician One Urgent Care,78 Pershing Drive,Derby,Drive-thru,,203.516.5307,,https://physicianoneurgentcare.com/coronavirus2019,-73.0846309,41.3276576,"78 pershing dr, derby, ct 06418, usa"
Connecticut,Physician One Urgent Care,900 Main Street South,Southbury,Drive-thru,,203.262.1911,,https://physicianoneurgentcare.com/coronavirus2019,-73.2348358,41.4621733,"900 main st s, southbury, ct 06488, usa"
Connecticut,Physician One Urgent Care,266 South Main Street,Newtown,Drive-thru,,203.270.9000,,https://physicianoneurgentcare.com/coronavirus2019,-71.571438,41.680846,"266 s main st, coventry, ri 02816, usa"
Connecticut,Physician One Urgent Care,1040 Barnum Avenue ,Stratford,Drive-thru,,203.377.5733,,https://physicianoneurgentcare.com/coronavirus2019,-73.1329782,41.1995935,"1040 barnum ave, stratford, ct 06614, usa"
Connecticut,Physician One Urgent Care,31 Old Rte 7 ,Brookfield,Drive-thru,,203.885.0808,,https://physicianoneurgentcare.com/coronavirus2019,-73.4083982,41.4765667,"31 old rte 7, brookfield, ct 06804, usa"
Connecticut,Physician One Urgent Care,10 South Street Suite101,Ridgefield,Drive-thru,,203-431-4600,,https://physicianoneurgentcare.com/coronavirus2019,-74.0117883,40.7009894,"10 south st, new york, ny 10004, usa"
Connecticut,Physician One Urgent Care,346 Main Ave,Norwalk,Drive-thru,,203.846.0005,,https://physicianoneurgentcare.com/coronavirus2019,-73.4252034,41.1384646,"346 main ave, norwalk, ct 06851, usa"
Connecticut,Manchester Memorial Hospital,71 Haynes St,Manchester,Drive-thru,,860.646.1222,,https://www.echn.org/2019-coronavirus/,-72.5260287,41.7815772,"71 haynes st, manchester, ct 06040, usa"
Connecticut,Go Health UC,2520 Main St,Glastonbury,Clinic,,(860) 968-0430,,https://www.gohealthuc.com/connecticut#center-locator,-95.3745713,29.7459802,"2520 main st, houston, tx 77002, usa"
Connecticut,Go Health UC,244 Spencer St,Manchester,Clinic,,(860) 474-3963,,https://www.gohealthuc.com/connecticut#center-locator,-83.1249614,42.4499568,"244 spencer st, ferndale, mi 48220, usa"
Connecticut,Go Health UC,336 N Main St Suite A,West Hartford ,Clinic,,(860) 200-7701,,https://www.gohealthuc.com/connecticut#center-locator,-72.745274,41.7844771,"336 n main st suite a, west hartford, ct 06117, usa"
Connecticut,Stamford Health,One Hospital Plaza,Stamford,Clinic,,203-276-7777,,https://www.stamfordhealth.org/healthflash-blog/infectious-disease/types-of-covid-19-tests-explained/,-73.5522978,41.0544825,"one hospital plaza, stamford, ct 06902, usa"
Connecticut,Stamford Health,32 Strawberry Hill Court,Stamford,Clinic,,203-276-2222,,https://www.stamfordhealth.org/healthflash-blog/infectious-disease/types-of-covid-19-tests-explained/,-73.5341975,41.0647055,"32 strawberry hill ct, stamford, ct 06902, usa"
Delaware,Bayhealth,640 S State St,Dover,Drive-thru,,,,,-75.5236202,39.1512959,"640 s state st, dover, de 19901, usa"
Delaware,Mariner Middle School,16391 Harbeson Rd,Milton,Drive-thru,Jun 20 9-noon,,,https://www.beebehealthcare.org/patients-visitors/screening-testing-treatment-beebe,-75.3123373,38.764537,"16391 harbeson rd, milton, de 19968, usa"
Delaware,Saint Francis Healthcare,1072 Justison St,Wilmington,Drive-thru,,,,,-75.5633389,39.7280884,"1072 justison st, wilmington, de 19801, usa"
Delaware,Kingswood Community Center,2300 Bowers Street,Wilmington,Clinic,Tu/Th 10AM-1PM,302-428-6586,no referral needed,https://christianacare.org/coronavirus-testing#no/,-75.5276245,39.7465116,"2300 bowers st, wilmington, de 19802, usa"
Delaware,Latin American Community Center,301 N Harrison Street,Wilmington,Clinic,Mon/Fri 10AM\u20141PM,302-320-6439,no referral needed,https://christianacare.org/coronavirus-testing#no/,-74.6518455,40.3644928,"301 n harrison st, princeton, nj 08540, usa"
Delaware,Chase Center on the Riverfront,815 Justison St,Wilmington,Drive-thru,,,,,-75.5628715,39.7310935,"815 justison st, wilmington, de 19801, usa"
Delaware,Walgreens,536 Main St ,Wilmington,Drive-thru,9am-5pm,,Appointment only \u2013 complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx,-74.2900258,40.4792457,"536 main st, south amboy, nj 08879, usa"
District of Columbia,GW Medical Faculty Associates,1101 15th St NW,Washington,Clinic,Mon\u2014Fri 7AM\u20147PM; Sat 9AM\u20144PM,,call first,https://gwdocsipc.com/,-77.0341755,38.9041519,"1101 15th st nw, washington, dc 20005, usa"
District of Columbia,Children\u2019s National Hospital,125 Michigan Ave NE,Washington,Hospital,hours vary; call first,888-884-BEAR,Children up to 22 years of age; must have doctor's referral,https://childrensnational.org/Healthcare%20Providers/Refer%20a%20Patient/mobile%20testing,-77.0024664,38.9275319,"125 michigan ave ne, washington, dc 20017, usa"
District of Columbia,United Medical Center,1310 Southern Ave SE,Washington,"Drive-thru, Walk-thru ","Mon, Wed, Fri 10AM\u20142PM",202-574-6000,appt only,https://www.unitedmedicaldc.com/wp-content/uploads/2020/04/UMC-testing-FAQs_040120_FINAL.pdf,-76.9849936,38.8359393,"1310 southern ave se, washington, dc 20032, usa"
District of Columbia,Whitman-Walker Health,1525 14th St NW,Washington,Clinic,"Mon\u2014Wed, Fri 9AM\u20145PM; Thu 9AM\u201412:30PM",202-745-7000,,https://www.whitman-walker.org/blogs-and-stories/service-updates-during-the-covid-19-crisis,-77.0315736,38.9104721,"1525 14th st nw, washington, dc 20005, usa"
District of Columbia,Washington Redskins stadium\u2019s parking lot,1600 Fedex Way Landover MD 20785,Washington,Drive-thru,,,referral from PCP,,-76.8639884,38.9081324,"1600 fedex way, hyattsville, md 20785, usa"
District of Columbia,One Medical,1690 36th St NW,Washington,Drive-thru,,1-888-ONEMED1,appt only,https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical,-77.0716014,38.9129639,"1690 36th st nw, washington, dc 20007, usa"
District of Columbia,AllCare,1710 Rhode Island Ave NW,Washington,Drive-thru,M-F 6p-7p; S-Su noon-1,,telemedicine visit first,https://allcarefamilymed.com/coronavirus,-77.0391948,38.9059625,"1710 rhode island ave nw, washington, dc 20036, usa"
District of Columbia,Grubb's,1800 Martin Luther King Jr Ave SE,Washington,Drive-thru,,,appt only - DoINeedACovid19Test.com,https://doineedacovid19test.com/,-76.9879911,38.8675693,"1800 martin luther king jr ave se, washington, dc 20020, usa"
District of Columbia,MedStar Health Urgent Care,1805 Columbia Rd,Washington,Clinic,Daily 8AM\u20148PM,,,https://www.medstarhealth.org/mhs/urgent-care/,-77.0432903,38.9225987,"1805 columbia rd nw, washington, dc 20009, usa"
District of Columbia,George Washington University Hospital,22nd and I Street NW,Washington,Hospital,hours vary; call first,202-741-2765,By appointment only after a doctor's recommendation,https://www.gwhospital.com/health-alert,-77.0488331,38.9007023,"22nd st nw & i st nw, washington, dc 20052, usa"
District of Columbia,Whitman-Walker Health,2301 Martin Luther King Jr Ave SE,Washington,Clinic,"Mon\u2014Wed, Fri 9AM\u20145PM; Thu 9AM\u201412:30PM",202-745-7000,,https://www.whitman-walker.org/blogs-and-stories/service-updates-during-the-covid-19-crisis,-76.991285,38.863526,"2301 martin luther king jr ave se, washington, dc 20020, usa"
District of Columbia,GW Medical Faculty Associates,2350 Washington Place NE Suite 110 N,Washington,Clinic,Mon\u2014Fri 8AM\u20148PM; Sat\u2014Sun 9AM\u20146PM,202-544-7580,,https://gwdocsipc.com/,-76.9948173,38.921133,"2350 washington pl ne suite 110 n, washington, dc 20018, usa"
District of Columbia,GW Medical Faculty Associates,2902 Porter St NW,Washington,Clinic,Mon\u2014Fri 8AM\u20148PM; Sat\u2014Sun 9AM\u20146PM,202-525-5287,,https://gwdocsipc.com/,-77.0595495,38.9366455,"2902 porter st nw, washington, dc 20008, usa"
District of Columbia,Grubb's,3001 P St NW,Washington,Drive-thru,,,appt only - DoINeedACovid19Test.com,https://doineedacovid19test.com/,-77.0593808,38.9094754,"3001 p st nw, washington, dc 20007, usa"
District of Columbia,Grubb's,326 East Capitol St NE,Washington,Drive-thru,,,appt only - DoINeedACovid19Test.com,https://doineedacovid19test.com/,-77.000852,38.8901548,"326 e capitol st se, washington, dc 20003, usa"
District of Columbia,Kaiser Permanente,700 2nd Street NE,Washington,Clinic,Daily 9AM\u20145PM,866-454-8855,must have doctor's referral,https://mydoctor.kaiserpermanente.org/covid-19/home,-77.0039961,38.8995402,"700 2nd st ne, washington, dc 20002, usa"
District of Columbia,CVS Health COVID-19 Testing Site,110 Carroll Street NW,Washington,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-77.014569,38.9744876,"110 carroll st nw, washington, dc 20012, usa"
District of Columbia,CVS Health COVID-19 Testing Site,6514 Georgia Avenue NW,Washington,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-77.02775,38.9694391,"6514 georgia ave nw, washington, dc 20012, usa"
District of Columbia,CVS Health COVID-19 Testing Site,845 Bladensburg Road,Washington,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-76.9820827,38.9012797,"845 bladensburg rd ne, washington, dc 20002, usa"
District of Columbia,George Washington University Hospital,900 23rd St NW,Washington,Drive-thru,,,referral from PCP,https://smhs.gwu.edu/covid-19-testing,-77.0507412,38.901261,"900 23rd st nw, washington, dc 20037, usa"
Florida,CVS Health COVID-19 Testing Site,1098 Montgomery Road,Altamonte Springs,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-81.4041583,28.6868093,"1098 montgomery rd, altamonte springs, fl 32714, usa"
Florida,CVS Health COVID-19 Testing Site,221 South SR 434,Altamonte Springs,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-81.4183689,28.6595442,"221 s state rd 434, altamonte springs, fl 32714, usa"
Florida,CareSpot,512 E Altamonte Drive Suite 1000,Altamonte Springs,Clinic,Everyday 8AM\u20148PM,321-248-7676,,,-81.3726365,28.663369,"512 e altamonte dr #1000, altamonte springs, fl 32701, usa"
Florida,CareSpot,3840 E State Road 436 Suite 1000,Apopka,Clinic,Everyday 8AM\u20148PM,407-871-3482,anyone with symptoms; must wear a face mask; call for appointment,https://www.carespot.com/locations/florida/,-81.442244,28.668849,"3840 fl-436 #1000, altamonte springs, fl 32714, usa"
Florida,CVS Health COVID-19 Testing Site,4 South Brevard Avenue,Arcadia,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-81.8598253,27.2144655,"4 s brevard ave, arcadia, fl 34266, usa"
Florida,BayCare Health System,2200 Osprey Blvd,Bartow,Drive-thru,"April 29, May 1 8-11",,,https://baycare.org/coronavirus/covid-19-testing-centers,-81.8437812,27.9186774,"2200 osprey blvd, bartow, fl 33830, usa"
Florida,CVS Health COVID-19 Testing Site,101 South Main Street,Belle Glade,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-95.2683093,38.6170726,"101 s main st, ottawa, ks 66067, usa"
